id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path,language
1251910,Five Stars,"After her friend goes missing, Sadie discovers a killer on the loose may be connected to five star reviews on a particular movie.",2024-02-28,3 minutes,"Horror, Action, Thriller",Labelless Productions,0,0,0.48,10.0,1,Released,https://image.tmdb.org/t/p/w500/jgMQ0sqhtUZGJFbvLb2ioyspxqW.jpg,https://image.tmdb.org/t/p/w500/z3myCGHvYrB0Vt7oEwSnraabTar.jpg,En
1251710,Love You to Death: For Love or Money,The shooting of a beloved Cleveland firefighter leads detectives to uncover a shocking plot for money gone very wrong.,2024-02-28,53 minutes,"Documentary, Crime",Tubi,0,0,0.535,0.0,0,Released,https://image.tmdb.org/t/p/w500/lW5MOnRN8seDeQZ5m6zYmwtmVUl.jpg,https://image.tmdb.org/t/p/w500/pwdfcCPFJR6e0tP2WPvNIFYBWyo.jpg,En
1251603,Book Of The Dead,A aspiring filmmaker pitches a horror movie with the intention of making into a feature film.,2024-02-28,5 minutes,"Horror, Comedy, Fantasy","Charlton Entertainment, Arcane Pictures",0,0,0.535,0.0,0,Released,https://image.tmdb.org/t/p/w500/WMg8HvbfaaSC6E7E9RguvlEK67.jpg,https://image.tmdb.org/t/p/w500/vXSD6z7FUTEoRrZ5KewiqCX5Wra.jpg,En
1251472,Battle of the Baddest,"The fight that turned sport on its head. In a historic match up, we present an unprecedented look behind the scenes to explore how the match between Boxing's World Heavyweight Champion Tyson Fury and the former UFC-Heavyweight Champion Francis Ngannou was made, fought and ultimately won. A real David and Goliath story with drama only sport can write. From learning about how a small boy from Cameroon escaped life in the sand mines to become UFC Heavyweight Champion of the world, to how a small boy from Morecambe Bay became one of the most inspirational faces on the planet - this is a story of two very different icons who put it all on the line in front of the world in an event that changed the game forever.",2024-02-28,62 minutes,Documentary,We Go Again Studios,0,0,0.776,0.0,0,Released,https://image.tmdb.org/t/p/w500/pmuYMMk1xdnddb3djzAkeCWCB0d.jpg,https://image.tmdb.org/t/p/w500/181qhY2HD61fHmcBFRj6vQ4mRyR.jpg,En
1251332,Strange Things in Western Hunan,"After the person left, according to local customs in Fengmen Village, they needed to be buried at night, but a female body appeared inexplicably in the coffin, which made the whole village uneasy. The common people posted reward notices and wanted to recruit Taoist priests to come and suppress them. When the mysterious Taoist priest Feng Lengqing went deep into the haunted house to break the Yin Qi, he used a unique fighting skill to escape, revealing the fact that he was originally a successor of the Taosha Sima sect of the Tao Dou Men. Afterwards, Feng Lengqing discovered that the female body in Tsing Yi was a trap set up. However, Lao Jin used despicable means to threaten Feng Lengqing and forced him to die for the danger.",2024-02-28,73 minutes,"Action, Drama, Adventure",北京佰乐传媒有限公司,0,0,2.579,1.5,2,Released,https://image.tmdb.org/t/p/w500/p3vU4XrPD9FistjGwq2l0jFRLoy.jpg,https://image.tmdb.org/t/p/w500/kGUL5Pueu2aFpMzUYujDKZpFd0P.jpg,Zh
1246956,NOTASI,"Aksa's arrival in Fina's life was like rain. unexpected, free and romantic. But unfortunately, their relationship was forcibly interrupted. When Fina's parents opposed their relationship. Indonesia and Jakarta began to heat up, and now she must choose, to follow the whispers of her heart, or bow to the seduction of her family. Or she will lose everything",2024-02-28,50 minutes,"Drama, Action, Romance, Thriller","SMA Al-Izhar Pondok Labu, X IPS 2",319,0,0.133,0.0,0,Released,https://image.tmdb.org/t/p/w500/fy0FZ9qVarxwAE3Zbf017rwkxgF.jpg,https://image.tmdb.org/t/p/w500/5XdfJeCgtFCfhouCCwIvn0pdyRD.jpg,Id
1238127,The Parades,"A mother searches for her missing son after a devastating calamity, only to realize that she has died and is now confined to a realm of restless spirits.",2024-02-28,132 minutes,Drama,"BABEL LABEL, Netflix",0,0,8.489,7.5,22,Released,https://image.tmdb.org/t/p/w500/lGkoz4G6q8z7xHCCeGo0oKSUKBN.jpg,https://image.tmdb.org/t/p/w500/vi4MKklJgeAGC0vcFFse9hxdvCS.jpg,Ja
1237600,Restart,A young man is stuck inside of an endlessly repeating loop,2024-02-28,3 minutes,Drama,Pro.Fil – Projekt Filmpraxis e.V.,0,0,0.111,0.0,0,Released,https://image.tmdb.org/t/p/w500/f0Ct6QgmGRGB42JOlrudIEtWz2P.jpg,https://image.tmdb.org/t/p/w500/uNrvp36mtn36xkIu22h8TpIpqVa.jpg,De
1200208,The Shamrock Spitfire,"""""""""The story of Irish fighter pilot Brendan ""Paddy"" Finucane, who at the age of just 21, became the youngest ever Wing Commander in the Royal Air Force, and one of its greatest and most celebrated fighter aces during World War Two.""""""""",2024-02-28,104 minutes,"War, Drama","101 Films International, Pixel Revolution Films, Red Storm Film Company, Trevor Beattie Films",0,0,2.565,6.2,4,Released,https://image.tmdb.org/t/p/w500/AsSxBwz8ubOSneq3C2bBkqAHpz.jpg,https://image.tmdb.org/t/p/w500/5mjyOjp4QU5GL1hsUJbVurXUKYI.jpg,En
1171930,Alive,"Day and night, two couples stand alongside their children with care and attention, as they await an organ donation. Their support, combined with the extraordinary dedication of their caregivers, is vital on the path to recovery. A celebration of hope, resilience and commitment - a true love story!",2024-02-28,98 minutes,Documentary,Mirak Films,0,0,2.631,5.0,1,Released,https://image.tmdb.org/t/p/w500/eSE9CkpM4wx4gkEjMwr8GrTfxf3.jpg,https://image.tmdb.org/t/p/w500/6cA6f99bRDYSemU7ZgYcKUQ9Bik.jpg,Fr
1163522,LIVE STAGE BOCCHI THE ROCK!,A stage play adaptation of Bocchi the Rock!,2024-02-28,150 minutes,"Music, Comedy","Aniplex, Sony Music Entertainment",0,0,2.144,8.0,1,Released,https://image.tmdb.org/t/p/w500/vtvJMi3vldZi8nGsB2PwfRVYVUC.jpg,https://image.tmdb.org/t/p/w500/sCgh2bx7oEFCXjGVBIspxEQsmee.jpg,Ja
870360,The Day the Earth Blew Up: A Looney Tunes Movie,"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are determined to save their town (and the world!)...that is if they don't drive each other crazy in the process.",2024-02-28,91 minutes,"Animation, Comedy, Science Fiction","Warner Bros. Animation, Ketchup Entertainment",0,0,21.076,8.0,14,Released,https://image.tmdb.org/t/p/w500/s2lB1kaYCdGSnZX5meQCiOR6HfX.jpg,https://image.tmdb.org/t/p/w500/nIUduyXqth5K3sRpSZNELMqydj2.jpg,En
1308979,Hot Hand,"Jack is an Ex-Detective turned Hitman, who has recently been hired for a job from Clara, who seeks revenge for the murdered of her Husband Mario. The story all unfolds during a match of poker, as each players gets eliminated, Only two remain.",2024-02-29,3 minutes,"History, Crime",SAE Institute,500,0,0.522,0.0,0,Released,https://image.tmdb.org/t/p/w500/ghYl1uV5nLuRc2utrK3ecYl0LVp.jpg,https://image.tmdb.org/t/p/w500/rHMx70kofJAfkIkXeGGrJV9Fw0m.jpg,En
1308063,Passage,"The woman was fixing her car and trying to start it when she heard a loud thud behind her. She turns around and sees a man show up behind her car, his shirt stained with blood and a gun in his hand.",2024-02-29,6 minutes,"Horror, Mystery",Missing One Production,0,0,0.778,0.0,0,Released,https://image.tmdb.org/t/p/w500/8jDAA0UG9XD69jv5563QGwUqniV.jpg,https://image.tmdb.org/t/p/w500/wUBVfrqpgflXZqT74uf3jvbqSkt.jpg,Th
1285570,Buzz of the Earth,"In this mockumentary, the European Space Agency forms a team of scientists to craft a message to send to alien civilizations. As they work to compile a comprehensive report on humanity, the team is faced with unexpected challenges, including debates on what should be said and how it should be expressed.",2024-02-29,29 minutes,Comedy,FAMU,0,0,0.727,0.0,0,Released,https://image.tmdb.org/t/p/w500/l6EpXACnkb1EcpHqYP0GwD0NdvI.jpg,https://image.tmdb.org/t/p/w500/3SjMNFL8MphvmebzNERxGi0zaHd.jpg,En
1283927,The Rake,"Four teens go camping at an abandoned scout camp for some late summer camping. Come nightfall, they start getting picked off one by one by the Rake. Andy (JM Ward) and Lauren (Corinne Tiernan) have to fight to stay alive and make their way out of the woods before it's too late.",2024-02-29,46 minutes,Horror,Alpha-Marshall Productions,2500,0,0.155,0.0,0,Released,https://image.tmdb.org/t/p/w500/nH2e1uGJsAMAtDi12Xu5BCBdRNy.jpg,https://image.tmdb.org/t/p/w500/zWyNoT0ZnFzZI4WVTTGq42dZxJx.jpg,En
